1,2225
5,8761
16,6527
20,5998
27,7668
30,2641
38,6913
39,5493
40,9698
44,5594
45,9369
49,9166
97,966
116,1008
129,6505
132,7576
136,1385
140,6167
159,910
165,3417
166,9514
175,1876
176,6408
177,9274
178,8333
179,1988
181,7656
183,6000
189,2925
190,4969
192,4790
195,3506
197,7442
215,1070
216,8798
223,4492
230,4167
233,1942
240,3562
242,9431
243,5580
245,6134
249,976
273,843
277,9519
278,7724
279,2288
290,804
291,9802
295,8012
296,7733
300,7329
302,887
303,1632
305,5973
334,3477
338,4198
352,3159
354,6076
356,5018
357,7158
358,9811
360,4931
361,5089
362,8455
363,2192
369,3732
370,4857
374,6665
375,7253
377,6847
383,2241
388,1577
414,2522
416,6394
440,383
442,1009
443,2427
457,841
458,3464
464,6541
477,1059
478,6001
480,2897
482,9199
486,1264
487,1227
491,9180
493,9183
495,3137
499,1544
501,7506
505,1845
515,2509
554,73
555,8557
575,6395
577,9233
582,7663
643,176
644,7096
645,5871
646,8199
647,5540
652,4483
653,9117
654,9738
655,9490
666,759
674,2799
678,7742
679,3465
680,9869
702,1076
703,3349
720,3966
724,7719
726,5064
727,7276
733,7890
735,8319
739,4291
740,4465
741,7053
742,7850
743,9810
744,6231
747,7823
751,5194
753,5282
754,7434
760,8611
764,6147
768,6656
769,9539
773,4552
777,2338
793,5910
794,6627
805,1849
806,4397
818,900
823,2525
832,5813
859,5849
880,134
888,1902
893,4961
894,7698
895,9015
896,1359
897,8202
924,1514
928,9749
931,2930
932,4904
934,4153
942,3603
955,1611
962,5368
965,3079
969,4260
976,2453
977,9871
981,8568
1003,315
1008,4063
1021,3102
1025,844
1026,3374
1027,4112
1035,767
1036,3729
1037,9469
1048,1561
1049,8259
1052,2234
1053,7508
1078,3734
1099,1930
1101,6089
1110,6443
1116,5049
1118,1877
1121,1383
1126,4887
1127,2013
1132,8512
1141,1990
1147,6201
1149,2739
1163,3540
1165,8103
1166,3235
1171,4178
1174,2482
1176,6315
1182,196
1185,2076
1186,4469
1188,9322
1189,4874
1191,2898
1195,1406
